                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.63706,                0.51077,                 1.0638,                0.87753,                0.66529,                0.74762,                0.61707,                0.90903,                 1.1917,                 1.4081,             0.00074287,             0.00074287,             0.00074287
                     99,                0.59203,                0.49122,                 1.0503,                0.92074,                 0.6872,                 0.7736,                0.62984,                0.88993,                 1.1148,                 1.3852,             0.00073579,             0.00073579,             0.00073579
                    100,                0.61675,                0.48564,                 1.0666,                0.89354,                0.70271,                0.79302,                0.65209,                0.86048,                0.98231,                 1.3445,             0.00072872,             0.00072872,             0.00072872
                    101,                   0.62,                0.50249,                 1.0688,                  0.875,                0.70241,                0.78969,                0.63297,                 0.9063,                0.93838,                 1.3991,             0.00072164,             0.00072164,             0.00072164
                    102,                0.59354,                0.47677,                  1.067,                0.87908,                0.70946,                0.77823,                 0.6302,                0.89015,                0.98754,                 1.3394,             0.00071457,             0.00071457,             0.00071457
                    103,                0.61164,                0.51153,                 1.0657,                0.83773,                0.75717,                 0.8183,                0.65407,                0.86934,                 0.8398,                 1.2991,              0.0007075,              0.0007075,              0.0007075
                    104,                 0.6104,                0.50354,                 1.0573,                0.87109,                0.76049,                0.83077,                0.66224,                0.87421,                0.89386,                 1.3129,             0.00070042,             0.00070042,             0.00070042
                    105,                0.60456,                0.49117,                  1.049,                 0.8549,                0.74496,                0.81492,                0.66308,                0.86499,                0.95257,                 1.3056,             0.00069335,             0.00069335,             0.00069335
                    106,                0.58661,                0.48262,                 1.0514,                0.86976,                0.74021,                0.79918,                0.66196,                0.87466,                0.97012,                 1.2936,             0.00068628,             0.00068628,             0.00068628
                    107,                0.59698,                0.45815,                 1.0367,                0.91196,                0.75572,                0.82679,                0.67548,                0.80237,                0.87922,                 1.2311,              0.0006792,              0.0006792,              0.0006792
                    108,                0.62527,                0.48362,                 1.0549,                0.86173,                0.74583,                0.82521,                0.66768,                0.82339,                0.84704,                 1.2325,             0.00067213,             0.00067213,             0.00067213
                    109,                0.62155,                0.48498,                 1.0498,                0.83268,                0.75814,                0.80915,                0.65409,                0.87477,                0.89473,                 1.3083,             0.00066506,             0.00066506,             0.00066506
                    110,                0.63273,                0.51741,                 1.0652,                0.87377,                0.74484,                0.78263,                0.63706,                0.84291,                0.98197,                 1.2958,             0.00065798,             0.00065798,             0.00065798
                    111,                0.59731,                 0.4769,                 1.0349,                0.84892,                0.72017,                0.78522,                0.63642,                0.86155,                0.94714,                 1.2827,             0.00065091,             0.00065091,             0.00065091
                    112,                0.59001,                0.46132,                 1.0561,                0.86543,                0.72138,                 0.7948,                0.64163,                0.88994,                 1.0236,                 1.3143,             0.00064384,             0.00064384,             0.00064384
                    113,                0.62686,                0.48788,                 1.0604,                0.87992,                0.71119,                0.78433,                0.63291,                0.93249,                 1.1627,                 1.3677,             0.00063676,             0.00063676,             0.00063676
                    114,                0.60064,                0.47872,                  1.044,                0.85088,                0.71759,                0.76176,                0.61916,                0.94286,                 1.1805,                 1.4015,             0.00062969,             0.00062969,             0.00062969
